"rules","support","confidence","lift"
"{可能性,简易方程,多边形的面积,数学广角(植树问题),统计与可能性,小数除法} => {位置}",0.015,1,3.095
"{数学广角(植树问题),统计与可能性,位置,小数除法} => {可能性,简易方程,多边形的面积}",0.015,1,13
"{可能性,简易方程,多边形的面积,数学广角(植树问题),统计与可能性,位置} => {小数乘法}",0.015,1,2.6
"{可能性,简易方程,多边形的面积,数学广角(植树问题),统计与可能性,小数乘法} => {位置}",0.015,1,3.095
"{数学广角(植树问题),统计与可能性,位置,小数乘法} => {可能性,简易方程,多边形的面积}",0.015,1,13
"{可能性,简易方程,多边形的面积,数学广角(植树问题),统计与可能性,小数除法} => {小数乘法}",0.015,1,2.6
"{可能性,简易方程,多边形的面积,数学广角(植树问题),统计与可能性,小数乘法} => {小数除法}",0.015,1,3.611
"{数学广角(植树问题),统计与可能性,小数乘法,小数除法} => {可能性,简易方程,多边形的面积}",0.015,1,13
"{数学广角(植树问题),统计与可能性,位置,小数除法} => {小数乘法}",0.015,1,2.6
"{数学广角(植树问题),统计与可能性,位置,小数乘法} => {小数除法}",0.015,1,3.611
"{数学广角(植树问题),统计与可能性,小数乘法,小数除法} => {位置}",0.015,1,3.095
"{可能性,简易方程,多边形的面积,统计与可能性,位置,小数除法} => {小数乘法}",0.062,1,2.6
"{可能性,简易方程,多边形的面积,统计与可能性,位置,小数乘法} => {小数除法}",0.062,1,3.611
"{可能性,简易方程,多边形的面积,统计与可能性,小数乘法,小数除法} => {位置}",0.062,1,3.095
"{统计与可能性,位置,小数乘法,小数除法} => {可能性,简易方程,多边形的面积}",0.062,1,13
"{可能性,简易方程,多边形的面积,位置,小数乘法,小数除法} => {统计与可能性}",0.062,0.8,13
"{可能性,简易方程,多边形的面积,数学广角,统计与可能性,位置} => {小数除法}",0.031,1,3.611
"{可能性,简易方程,多边形的面积,数学广角,统计与可能性,小数除法} => {位置}",0.031,1,3.095
"{数学广角,统计与可能性,位置,小数除法} => {可能性,简易方程,多边形的面积}",0.031,1,13
"{可能性,简易方程,多边形的面积,数学广角,统计与可能性,位置} => {小数乘法}",0.031,1,2.6
"{可能性,简易方程,多边形的面积,数学广角,统计与可能性,小数乘法} => {位置}",0.031,1,3.095
"{数学广角,统计与可能性,位置,小数乘法} => {可能性,简易方程,多边形的面积}",0.031,1,13
"{可能性,简易方程,多边形的面积,数学广角,统计与可能性,小数除法} => {小数乘法}",0.031,1,2.6
"{可能性,简易方程,多边形的面积,数学广角,统计与可能性,小数乘法} => {小数除法}",0.031,1,3.611
"{数学广角,统计与可能性,小数乘法,小数除法} => {可能性,简易方程,多边形的面积}",0.031,1,13
"{数学广角,统计与可能性,位置,小数除法} => {小数乘法}",0.031,1,2.6
"{数学广角,统计与可能性,位置,小数乘法} => {小数除法}",0.031,1,3.611
"{数学广角,统计与可能性,小数乘法,小数除法} => {位置}",0.031,1,3.095
"{可能性,简易方程,多边形的面积,数学广角(植树问题),位置,小数除法} => {小数乘法}",0.015,1,2.6
"{可能性,简易方程,多边形的面积,数学广角(植树问题),位置,小数乘法} => {小数除法}",0.015,1,3.611
"{可能性,简易方程,多边形的面积,数学广角(植树问题),小数乘法,小数除法} => {位置}",0.015,1,3.095
"{数学广角(植树问题),位置,小数乘法,小数除法} => {可能性,简易方程,多边形的面积}",0.015,1,13
"{可能性,简易方程,多边形的面积,数学广角,位置,小数除法} => {小数乘法}",0.031,1,2.6
"{可能性,简易方程,多边形的面积,数学广角,位置,小数乘法} => {小数除法}",0.031,1,3.611
"{可能性,简易方程,多边形的面积,数学广角,小数乘法,小数除法} => {位置}",0.031,1,3.095
"{可能性,简易方程,多边形的面积,数学广角(植树问题),统计与可能性,位置,小数除法} => {小数乘法}",0.015,1,2.6
"{可能性,简易方程,多边形的面积,数学广角(植树问题),统计与可能性,位置,小数乘法} => {小数除法}",0.015,1,3.611
"{可能性,简易方程,多边形的面积,数学广角(植树问题),统计与可能性,小数乘法,小数除法} => {位置}",0.015,1,3.095
"{数学广角(植树问题),统计与可能性,位置,小数乘法,小数除法} => {可能性,简易方程,多边形的面积}",0.015,1,13
"{可能性,简易方程,多边形的面积,数学广角,统计与可能性,位置,小数除法} => {小数乘法}",0.031,1,2.6
"{可能性,简易方程,多边形的面积,数学广角,统计与可能性,位置,小数乘法} => {小数除法}",0.031,1,3.611
"{可能性,简易方程,多边形的面积,数学广角,统计与可能性,小数乘法,小数除法} => {位置}",0.031,1,3.095
"{数学广角,统计与可能性,位置,小数乘法,小数除法} => {可能性,简易方程,多边形的面积}",0.031,1,13
